year,event_id,event_title,date,region,description,agreement,event_type,subject_type,subject_topic,subject_story,organizer_type,organizer_name,detentions,ovd,place,links
2019,1529,Серия народных сходов и шествий против недопуска оппозиционных кандидатов на выборы,2017-01-04,Москва,"По данным на вечер 28 июля, полиция задержала более 1373 участников акции против недопуска кандидатов на выборы в Мосгордуму. Задержания начались у мэрии Москвы, затем участники переходили в другие места города, задержания продолжались.",-,собрание,политический протест,выборы,в поддержку оппозиционных кандидатов в Мосгордуму,институциональный протест,,1373,"Марьина Роща,Бутырский,Отдел полиции Щербинский УВД по ТиНАО,Москворечье-Сабурово,Капотня,Хорошево-Мневники,Строгино,Фили-Давыдково,Тверской,Крылатское,Даниловский,Западное Дегунино,Крюково,Московский,Немчиновский,Отдел МВД по районам Матушкино и Савелки,Левобережный,Алексеевский,Ростокино,Северный,Ярославский,Ново-Переделкино,Филевский парк,Хорошевский,Южное Медведково,Бибирево,Отделение полиции Поклонная гора,Дорогомилово,Внуково,Коньково,Ломоносовский,Царицыно,Чертаново Центральное,Бирюлёво Восточное,Бирюлёво Западное,Свиблово,Северное Медведково,Лосиноостровский,Тропарево-Никулино,Щукино,Строгино,Марьино,Некрасовка,Жулебино,Южное Тушино,Кунцево,Раменки,Можайский,Останкинский,Измайлово,Красносельский,Таганский,Обручевский,Беговой,Сокол,Кузьминки,Братеево,Нагорный,Орехово-Борисово Северное,Орехово-Борисово Южное,Зябликово,Лефортово,Отрадное,Арбат,Новокосино,Марфино,Восточное Измайлово,Проспект Вернадского,Отделение полиции МГУ,Дмитровский,Алтуфьево,Савеловский,Солнцево,Южное Бутово,Академический,Южнопортовый,Люблино,Северное Измайлово,Зюзино,Нижегородский,Печатники,Сокольники,Замоскворечье,Вешняки,Нагатинский Затон,Соколиная Гора,Аэропорт,Котловка,Перово,Нагатино-Садовники,Чертаново Северное,Пресненский,Гольяново,Мещанский,Коптево,Китай-город","Тверская, Лубянка, Трубная площадь",https://ovdinfo.org/news/2019/07/27/spisok-zaderzhannyh-na-akcii-protiv-nedopuska-kandidatov-na-vybory-27-iyulya-2019
2017,959,АнтиДимон,2017-03-26,Москва,"В Москве, как и во многих городах России, прошла акция «Антидимон», инициированная расcледованием Алексея Навального и Фонда борьбы с коррупцией о «тайной империи» председателя правительства Дмитрия Медведева. Всего известно о 1043 задержанных в 50 ОВД Москвы. ",согласовано,собрание,политический протест,коррупция,фильм «Он вам не Димон»,активистский протест,штабы Навального,1043,"Нижегородский,Академический,Алтуфьево,Аэропорт,Басманный,Бибирево,Богородское,Бутырский,Восточное Дегунино,Войковский,Гагаринский,Головинский,Даниловский,Донской,Западное Дегунино,Ивановское,Измайлово,Коньково,Котловка,Красносельский,Левобережный,Лефортово,Ломоносовский,Марфино,Марьина Роща,Метрогородок,Мещанский,Москворечье-Сабурово,Нагатинский Затон,Нагорный,Обручевский,Останкинский,Покровское-Стрешнево,Преображенское,Пресненский,Соколиная Гора,Сокольники,Строгино,Тверской,Текстильщики,Тропарево-Никулино,Хамовники,Хорошево-Мневники,Хорошевский,Черемушки,Щукино,Южное Тушино,Ярославский,Отдел полиции по охране с/к «Лужники»,Дорогомилово",Тверская улица,"https://ovdinfo.org/express-news/2017/03/22/posle-okonchatelnogo-otkaza-meriya-moskvy-predlozhila-navalnomu-ploshchadki, https://ovdinfo.org/news/2017/03/26/zaderzhaniya-na-antidimone-v-moskve, https://ovdinfo.org/express-news/2017/03/26/podrostka-stradayushchego-astmoy-sotrudniki-policii-uvezli-iz-ovd, https://ovdinfo.org/express-news/2017/03/27/bolee-1000-chelovek-byli-zaderzhany-v-moskve-poslednie-dannye, https://ovdinfo.org/express-news/2017/03/27/aleksey-navalnyy-arestovan-na-15-sutok, https://ovdinfo.org/news/2017/03/27/27-marta-sudy-nad-zaderzhannymi-na-antidimone-v-moskve, https://ovdinfo.org/express-news/2017/03/28/zaderzhannyh-na-antidimone-nachali-dostavlyat-v-tverskoy-sud, https://ovdinfo.org/news/2017/03/28/spisok-dostavlennyh-v-specpriemniki-moskvy-posle-akcii-antidimon, https://ovdinfo.org/news/2017/03/28/28-marta-sudy-nad-zaderzhannymi-na-antidimone-v-moskve, https://ovdinfo.org/express-news/2017/03/28/nekotoryh-zaderzhannyh-iz-tverskogo-suda-uvozyat-v-meshchanskiy-sud, https://ovdinfo.org/express-news/2017/03/28/u-vseh-zaderzhannyh-iz-metrogorodka-istekli-48-chasov-ih-derzhat-v-avtozake, https://ovdinfo.org/express-news/2017/03/28/avtozak-s-arestovannymi-iz-tverskogo-suda-privezli-na-territoriyu-petrovki, https://ovdinfo.org/news/2017/03/29/v-moskve-proydet-pravovoy-seminar-dlya-zaderzhannyh-26-marta, https://2018.navalny.com/post/26/, https://meduza.io/feature/2017/03/27/skolko-lyudey-vyshli-na-ulitsy-26-marta-i-skolko-zaderzhali-karta-protesta"
2019,1601,Одиночный пикет на Красной площади,2019-10-30,Москва,Полицейские задержали участника одиночного пикета на Красной площади,-,одиночный пикет,политический протест,другое,,активистский протест,,1,Китай-город,Красная площадь,https://ovdinfo.org/express-news/2019/10/30/na-krasnoy-ploshchadi-zaderzhan-muzhchina-stoyavshiy-v-odinochnom-pikete
2019,1603,"Одиночный пикет ""против жуликов и воров""",2019-11-01,Москва,Полицейские задержали участника одиночного пикета с плакатом против жуликов и воров,-,одиночный пикет,политический протест,против власти,против Единой России,активистский протест,,1,Мещанский,"возле дома Цветной бульвар, 30",https://ovdinfo.org/express-news/2019/11/01/v-moskve-na-cvetnom-bulvare-zaderzhali-uchastnika-piketa
2019,1604,Русский марш,2019-11-04,Москва,"В Москве на ""Русском марше"" задержали православного хоругвеносца за символику",согласовано,в движении,политический протест,националистическая повестка,Русский марш,институциональный протест,"Комитет «Нация и Свобода»,Ассоциация Народного Сопротивления (АНС)",1,Люблино,ул. Перерва-ул. Люблинская,https://ovdinfo.org/express-news/2019/11/04/v-moskve-na-russkom-marshe-policiya-zaderzhala-pravoslavnogo-horugvenosca
2019,1607,Одиночный пикет против мусорного полигона на Шиесе,2019-11-10,Санкт-Петербург,"В Санкт-Петербурге на Невском проспекте во время одиночного пикета против мусорного полигона на Шиесе активиста задержали по КУСП, отпустили без протокола, но изъяли плакат",-,одиночный пикет,локальный протест,экология,против свалки на Шиесе,активистский протест,,1,Отдел полиции №78 Центрального района г.Санкт-Петербурга,Невский проспект,https://ovdinfo.org/express-news/2019/11/10/v-peterburge-policiya-zaderzhala-piketchika-s-plakatom-shies-s-prazdnikom
2019,1608,Одиночный пикет против Беглова,2019-11-17,Санкт-Петербург,"Задержание участника одиночного пикета с плакатом «Выбрали Беглова? Получайте: метро +10–15 рублей, автобусы +10 рублей»",-,одиночный пикет,политический протест,выборы,Против губернатора Петербурга Александра Беглова,активистский протест,,1,Отдел полиции №28 Центрального района г.Санкт-Петербурга,"возле Гостиного двора, Невский проспект, 35",https://ovdinfo.org/express-news/2019/11/17/v-sankt-peterburge-na-odinochnom-pikete-zaderzhali-storonnika-bessrochnogo
2019,1609,Одиночный пикет в поддержку депутата ЗакСа Вишневского,2019-11-17,Санкт-Петербург,"Задержание участника одиночного пикета с плакатом «Да — депутату Вишневскому, нет — клевете и пропаганде, нет — Путину и пропаганде»",-,одиночный пикет,политический протест,против власти,против Путина,активистский протест,,1,Отдел полиции №28 Центрального района г.Санкт-Петербурга,"возле Гостиного двора, Невский проспект, 35",https://ovdinfo.org/express-news/2019/11/17/v-sankt-peterburge-vtoroe-za-den-zaderzhanie-na-odinochnom-pikete-u
2019,1610,Прогулка на Красной площади в маске Ельцина,2019-11-17,Москва,Задержание несовершеннолетней во время прогулки по Красной площади в маске Бориса Ельцина,-,в движении,политический протест,свобода собраний,,активистский протест,,1,Китай-город,"Возле мавзолея Ленина, Красная площадь",https://ovdinfo.org/express-news/2019/11/17/v-moskve-na-krasnoy-ploshchadi-zaderzhali-aktivistku-olgu-misik-ona-byla-v
2019,1612,Одиночный пикет в рамках движения Fridays for Future,2019-11-29,Санкт-Петербург,"В Санкт-Петербурге на площади Ленина во время одиночного пикета задержали экоактивистку движения Fridays for Future Александру Пипич. Она стояла с плакатом «Ответственное производство, ответственное потребление, ответственная утилизация».",-,одиночный пикет,политический протест,экология,движение Fridays for Future,активистский протест,,1,Отдел полиции №51 Московского района г.Санкт-Петербурга,площадь Ленина,"https://ovdinfo.org/express-news/2019/11/29/v-peterburge-vo-vremya-odinochnogo-piketa-zaderzhali-aktivistku-fridays, https://paperpaper.ru/papernews/2019/11/29/v-peterburge-vo-vremya-piketa-zaderzhal/"
2019,1613,Одиночный пикет в поддержку политзаключенных,2019-11-30,Санкт-Петербург,"В Санкт-Петербурге во время одиночного пикета с плакатом ""Свободу узникам совести"" задержали Веру Олейникову.",-,одиночный пикет,политический протест,политзаключенные,политзеки,активистский протест,,1,Отдел полиции №78 Центрального района г.Санкт-Петербурга,,"https://ovdinfo.org/express-news/2019/11/30/v-peterburge-policeyskie-zaderzhali-uchastnicu-odinochnogo-piketa-v, https://t.me/jazzverok/8322"
2019,1615,"Баннер ""Свободу полизаключенным"" возле суда",2019-12-03,Москва,"Активисты «бесрочки» вывесили рядом со зданием Кунцевского суда, где проходило заседание по делу Егора Жукова, баннер ""Свободу политзаключенным"". Одного из них задержали",-,акция,групповой протест,политзаключенные,в поддержку политзаключенных,активистский протест,,1,,"Возле Кунцевского районного суда, Ярцевская, 12",https://ovdinfo.org/express-news/2019/12/03/u-kuncevskogo-suda-zaderzhali-aktivista-bessrochki-za-banner-svobodu
